year,fcf,scenario
2024.0,10744.228000000003,base
2025.0,11281.439400000001,base
2026.0,11845.51137,base
2027.0,12437.786938500003,base
2028.0,13059.676285425001,base
2024.0,9562.185599999999,downside
2025.0,9753.429311999998,downside
2026.0,9948.497898239997,downside
2027.0,10147.467856204796,downside
2028.0,10350.417213328892,downside
2024.0,11805.147199999998,upside
2025.0,12749.558976000004,upside
2026.0,13769.52369408,upside
2027.0,14871.085589606404,upside
2028.0,16060.772436774916,upside
